Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
102-16992-2024,3/28/2024 14:05,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2650000,99.51,99.51,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,2,1,,TERRACES MARASI DRIVE
102-17035-2024,3/28/2024 14:07,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1730000,98,98,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,TERRACES MARASI DRIVE
102-17569-2024,3/28/2024 14:08,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,3295000,104.98,104.98,2 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,7,1,,TERRACES MARASI DRIVE
102-17578-2024,3/28/2024 14:13,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2950000,140.86,140.86,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,TERRACES MARASI DRIVE
102-17587-2024,3/28/2024 14:16,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,3295000,104.99,104.99,2 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,2,1,,TERRACES MARASI DRIVE
102-18543-2024,3/27/2024 17:02,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,1071983,69.52,69.52,1 B/R,1,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,1,1,,Vincitore Volare
102-18804-2024,3/28/2024 10:01,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI PRODUCTION CITY,Unit,Flats,1666224,119.21,119.21,2 B/R,1,Damac Properties,Marina Mall,Sports City Swimming Academy,1,1,,Samana Portofino
102-19014-2024,3/28/2024 10:07,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flats,4528339,183.19,183.19,2 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,EXQUISITE LIVING RESIDENCES
102-19374-2024,3/28/2024 9:50,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1946170,88.62,88.62,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19375-2024,3/28/2024 14:06,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1117090,60.26,60.26,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19376-2024,3/28/2024 10:38,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1117090,60.29,60.29,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19378-2024,3/28/2024 11:39,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1116110,60.21,60.21,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19379-2024,3/28/2024 10:56,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1111210,59.96,59.96,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19380-2024,3/28/2024 10:58,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1117090,60.26,60.26,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19381-2024,3/28/2024 9:17,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1625710,90.24,90.24,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19383-2024,3/28/2024 10:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,2866390,130,130,3 B/R,2,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19385-2024,3/28/2024 10:06,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1955970,89.05,89.05,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19386-2024,3/28/2024 10:13,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1967730,89.55,89.55,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
